CustomerID,CustomerName,ContactNumber,Email,Location,JoinDate,CustomerType
1,Customer_1,+1-781-8725,customer1@example.com,South,2022-10-29,Retail
2,Customer_2,+1-215-6133,customer2@example.com,North,2020-06-06,Retail
3,Customer_3,+1-551-3022,customer3@example.com,East,2022-02-06,Wholesale
4,Customer_4,+1-814-8067,customer4@example.com,West,2022-08-20,Wholesale
5,Customer_5,+1-955-1716,customer5@example.com,North,2021-10-20,Retail
6,Customer_6,+1-880-2860,customer6@example.com,North,2021-12-14,Wholesale
7,Customer_7,+1-692-6813,customer7@example.com,West,2023-08-31,Wholesale
8,Customer_8,+1-732-3516,customer8@example.com,Central,2022-12-07,Retail
9,Customer_9,+1-150-6012,customer9@example.com,Central,2022-01-29,Retail
10,Customer_10,+1-851-7417,customer10@example.com,North,2022-04-07,Wholesale
11,Customer_11,+1-755-2879,customer11@example.com,West,2023-12-06,Retail
12,Customer_12,+1-605-6361,customer12@example.com,East,2022-01-15,Retail
13,Customer_13,+1-243-2298,customer13@example.com,Central,2022-05-05,Retail
14,Customer_14,+1-317-1514,customer14@example.com,South,2022-11-10,Wholesale
15,Customer_15,+1-173-5114,customer15@example.com,South,2020-06-18,Wholesale
16,Customer_16,+1-154-7056,customer16@example.com,South,2023-05-28,Retail
17,Customer_17,+1-525-5833,customer17@example.com,North,2022-09-27,Retail
18,Customer_18,+1-849-6433,customer18@example.com,South,2022-08-22,Retail
19,Customer_19,+1-540-7970,customer19@example.com,South,2023-06-30,Retail
20,Customer_20,+1-168-4249,customer20@example.com,Central,2022-08-09,Wholesale
21,Customer_21,+1-507-3746,customer21@example.com,East,2021-02-28,Retail
22,Customer_22,+1-330-8035,customer22@example.com,Central,2023-06-27,Wholesale
23,Customer_23,+1-422-3077,customer23@example.com,West,2021-02-25,Wholesale
24,Customer_24,+1-449-4274,customer24@example.com,South,2023-08-31,Retail
25,Customer_25,+1-108-6024,customer25@example.com,Central,2022-07-21,Retail
26,Customer_26,+1-417-3255,customer26@example.com,East,2023-04-18,Wholesale
27,Customer_27,+1-640-2231,customer27@example.com,South,2022-05-16,Retail
28,Customer_28,+1-125-3347,customer28@example.com,East,2023-02-17,Wholesale
29,Customer_29,+1-211-6947,customer29@example.com,North,2021-08-29,Wholesale
30,Customer_30,+1-468-6212,customer30@example.com,North,2022-01-15,Wholesale
31,Customer_31,+1-949-9372,customer31@example.com,Central,2021-04-23,Retail
32,Customer_32,+1-986-4053,customer32@example.com,East,2021-03-02,Retail
33,Customer_33,+1-337-7572,customer33@example.com,South,2021-03-28,Wholesale
34,Customer_34,+1-203-4458,customer34@example.com,East,2022-03-07,Retail
35,Customer_35,+1-953-5443,customer35@example.com,West,2020-07-15,Wholesale
