OrderID,CustomerID,ProductID,Quantity,TotalPriceBeforeTax,GSTAmount,TaxAmount,TotalPriceAfterTax,OrderDate,DeliveryStatus,PaymentStatus,DeliveryAddress
b1e75d89,684,88,2,672.34,80.68,49.45,802.47,2023-03-14,Delivered,Unpaid,"305 Hardware Lane, East"
5cd9f688,727,374,1,312.88,15.64,19.97,348.49,2023-07-31,Shipped,Paid,"157 Hardware Lane, East"
715fdad0,582,161,10,3746.1,449.53,12.34,4207.97,2023-02-08,Pending,Unpaid,"569 Hardware Lane, Central"
7b6c7090,888,249,2,359.3,43.12,17.73,420.15,2023-07-04,Delivered,Paid,"578 Hardware Lane, West"
4246db01,56,156,1,273.65,32.84,15.93,322.42,2023-02-02,Shipped,Paid,"491 Hardware Lane, East"
77899022,964,340,1,338.89,40.67,18.02,397.58,2023-03-06,Delivered,Unpaid,"371 Hardware Lane, East"
64b03922,745,162,6,82.8,14.9,39.54,137.24,2023-09-12,Delivered,Unpaid,"959 Hardware Lane, North"
6ea885c9,933,227,8,1294.56,233.02,37.01,1564.59,2023-02-24,Delivered,Paid,"151 Hardware Lane, Central"
b3048109,500,68,5,2314.85,416.67,49.12,2780.64,2023-12-28,Delivered,Paid,"823 Hardware Lane, West"
23c23a32,932,284,5,381.45,45.77,16.32,443.54,2023-11-30,Delivered,Paid,"994 Hardware Lane, West"
0f7260fe,955,382,6,2435.88,121.79,45.18,2602.85,2023-09-06,Pending,Unpaid,"766 Hardware Lane, Central"
a4eb51d9,615,18,9,3318.39,597.31,33.11,3948.81,2023-10-04,Pending,Paid,"770 Hardware Lane, East"
e26a0226,642,106,1,408.1,20.4,47.64,476.14,2023-11-22,Delivered,Unpaid,"821 Hardware Lane, South"
7fd3a59a,48,60,1,76.77,13.82,17.76,108.35,2023-01-11,Delivered,Paid,"143 Hardware Lane, East"
fda42285,593,70,9,721.17,86.54,34.32,842.03,2023-03-03,Pending,Unpaid,"463 Hardware Lane, East"
283f302e,207,62,7,1366.61,163.99,37.91,1568.51,2023-04-21,Shipped,Unpaid,"479 Hardware Lane, East"
0bedb054,466,230,7,73.5,3.68,11.55,88.73,2023-12-06,Shipped,Paid,"633 Hardware Lane, South"
bd4ec850,842,174,1,53.31,9.6,21.96,84.87,2023-06-25,Delivered,Unpaid,"792 Hardware Lane, West"
2173c317,228,377,9,4047.21,728.5,42.59,4818.3,2023-06-05,Delivered,Paid,"768 Hardware Lane, Central"
cd6340f8,758,250,10,3375.1,607.52,41.27,4023.89,2023-09-05,Pending,Paid,"721 Hardware Lane, East"
66e8684a,399,187,6,2482.08,446.77,33.45,2962.3,2023-08-08,Delivered,Paid,"751 Hardware Lane, West"
2fa51b20,385,36,3,1046.28,125.55,1.52,1173.35,2023-07-11,Delivered,Unpaid,"827 Hardware Lane, West"
7e0e8b98,262,140,10,3368.5,606.33,45.11,4019.94,2023-08-06,Delivered,Paid,"581 Hardware Lane, West"
c02b0321,889,54,7,2529.8,303.58,7.24,2840.62,2023-03-16,Delivered,Unpaid,"419 Hardware Lane, East"
b7d0e410,662,306,10,1632.3,195.88,39.09,1867.27,2023-05-14,Delivered,Unpaid,"696 Hardware Lane, South"
2c7556ec,381,60,9,690.93,124.37,22.38,837.68,2023-07-06,Pending,Paid,"415 Hardware Lane, South"
89051eea,743,44,5,50.6,6.07,22.24,78.91,2023-04-25,Pending,Paid,"244 Hardware Lane, Central"
6c143e5a,203,149,7,511.7,92.11,2.83,606.64,2023-07-13,Pending,Unpaid,"351 Hardware Lane, East"
8d8ffafe,252,215,2,814.72,40.74,4.74,860.2,2023-04-13,Shipped,Paid,"388 Hardware Lane, Central"
f99dac26,627,154,4,1101.56,198.28,24.21,1324.05,2023-10-06,Pending,Unpaid,"819 Hardware Lane, South"
cd64b38a,428,89,2,257.06,46.27,29.76,333.09,2023-08-06,Shipped,Unpaid,"196 Hardware Lane, North"
afc77028,308,325,10,4176.2,751.72,7.28,4935.2,2023-12-15,Delivered,Paid,"220 Hardware Lane, South"
cdb8e65d,188,214,1,253.25,45.58,33.16,331.99,2023-02-25,Pending,Paid,"789 Hardware Lane, North"
01cb0dba,713,34,2,528.24,63.39,11.85,603.48,2023-12-10,Delivered,Unpaid,"543 Hardware Lane, West"
250a6b5f,762,385,7,2798.25,503.68,17.45,3319.38,2023-06-23,Delivered,Paid,"544 Hardware Lane, Central"
301a9172,893,312,2,294.1,52.94,2.8,349.84,2023-10-20,Pending,Paid,"489 Hardware Lane, West"
38d86818,761,287,4,847.28,42.36,3.25,892.89,2023-04-11,Pending,Unpaid,"633 Hardware Lane, Central"
60ba1c87,439,207,3,1244.07,62.2,41.78,1348.05,2023-02-12,Pending,Paid,"629 Hardware Lane, Central"
fd922907,42,345,7,1825.6,91.28,27.21,1944.09,2023-05-21,Pending,Paid,"125 Hardware Lane, North"
dd83c541,735,30,2,349.52,17.48,27.58,394.58,2023-01-28,Delivered,Unpaid,"103 Hardware Lane, East"
9eb54a96,610,230,8,84.0,4.2,38.11,126.31,2023-09-08,Shipped,Paid,"126 Hardware Lane, South"
7c1a0496,597,190,10,3184.7,573.25,49.76,3807.71,2023-01-23,Shipped,Unpaid,"489 Hardware Lane, South"
7e1c1a08,970,360,4,843.88,151.9,39.55,1035.33,2023-11-09,Pending,Unpaid,"631 Hardware Lane, West"
